first_name,last_name,gender,title,company,year_funded
Dan,Burkhart,Male,CEO & Co-Founder,Recurly,2010
Isaac,Hall,Male,CTO & Co-Founder,Recurly,2010
Tim,Van Loan,Male,Co-founder,Recurly,2010
Christian,Taylor,Male,"Founder, Board Member",Payvment,2010
Joelle,Musante,Female,Co-Founder & Vice President,Payvment,2010
Paul,Boutin,Male,Co-Founder / Development Team Lead,Payvment,2010
Balaji,Gopinath,Male,Co-Founder,ecomom,2010
Jody,Sherman,Male,CEO/Founder,ecomom,2010
Alain,Chuard,Male,Founder & Head of Product Management,"Wildfire, a division of Google",2010
Rodney,Gin,Male,Founder,SiteJabber,2010
Jeremy,Gin,Male,"Co-Founder, CEO",SiteJabber,2010
Michael,Lai,Male,"Co-Founder, CTO",SiteJabber,2010
Jeremy,Mims,Male,Founder,OwnLocal,2010
Lloyd,Armbrust,Male,Cofounder & CEO,OwnLocal,2010
Jason,Novek,Male,Cofounder & CTO,OwnLocal,2010
Sam,Stokes,Male,Co-founder,Rapportive,2010
Martin,Kleppmann,Male,Co-founder,Rapportive,2010
Rahul,Vohra,Male,Co-founder,Rapportive,2010
Joe,Beninato,Male,Founder and CEO,Tello,2010
Keith,Ludlow,Male,Co-Founder & Director of Design,AwayFind,2010
Jared,Goralnick,Male,Founder & CEO,AwayFind,2010
Joshua,Baer,Male,Founder & CEO,OtherInbox,2010
Mike,Subelsky,Male,Founder,OtherInbox,2010
Greg,Nemeth,Male,Co-Founder,WakeMate,2010
Arun,Gupta,Male,Co-Founder,WakeMate,2010
Craig,Lewiston,Male,Co-Founder,WakeMate,2010
Tom,Davis,Male,Co-Founder,WakeMate,2010
Sean,Harper,Male,Founder and CEO,FeeFighters,2010
Joshua,Krall,Male,Co-Founder & CTO,FeeFighters,2010
Rana,June,Female,"Co-founder, VP Marketing",Medialets,2010
Nalin,Mittal,Male,Co-founder / CTO,Appbistro,2010
Alexa,Andrzejewski,Female,Cofounder and CEO,Foodspotting,2010
Ted,Grubb,Male,Cofounder and CTO,Foodspotting,2010
Soraya,Darabi,Female,Co-Founder,Foodspotting,2010
David,John,Male,Co-Founder,Flowtown,2010
Dan,Martell,Male,Co-Founder,Flowtown,2010
Ethan,Bloch,Male,"Co-Founder, CEO",Flowtown,2010
TJ,Sassani,Male,Founder & CEO,zozi,2010
Daniel,Gruneberg,Male,"Co-Founder, VP of Business Development",zozi,2010
Oktay,Caglar,Male,Co-Founder and CPO,Udemy,2010
Eren,Bali,Male,Co-Founder and CEO,Udemy,2010
Gagan,Biyani,Male,Co-Founder,Udemy,2010
Josh,Reich,Male,"Founder, CEO",Simple,2010
Shamir,Karkal,Male,"Co-founder, CFO",Simple,2010
Alex,Payne,Male,"Co-founder, CTO",Simple,2010
Andrea,Barrica,Female,Co-Founder,inDinero,2010
Andy,Su,Male,Co-Founder/CTO,inDinero,2010
Matt,Snider,Male,CoFounder,Votizen,2010
David,Binetti,Male,CEO/Co-Founder,Votizen,2010
Jason,Putorti,Male,Co-Founder,Votizen,2010
