first_name,last_name,gender,title,company,year_funded
Roman,Stanek,Male,"Founder, CEO",GoodData,2009
Guarav,Dhillon,--,Co-founder and CEO,SnapLogic,2009
Mike,Pittaro,Male,Founder and Chief Community Officer,SnapLogic,2009
Dustin,Moskovitz,Male,Co-Founder,Asana,2009
Justin,Rosenstein,Male,Co-founder,Asana,2009
Steve,Schoettler,Male,Co-Founder,Zynga,2009
Justin,Waldron,Male,Co-founder and VP,Zynga,2009
Andrew,Trader,Male,"EVP Sales & Business Development, Co-founder",Zynga,2009
Babur,Habib,--,Co-Founder/CTO/Board of Directors,Kno,2009
Osman,Rashid,--,Co-Founder/CEO/Board of Directors,Kno,2009
Tim,Howes,Male,"Co-Founder, Chairman & CTO",Rockmelt,2009
Eric,Vishria,Male,Co-Founder & CEO,Rockmelt,2009
Gil,Elbaz,Male,CEO and founder,Factual,2010
Kevin,Systrom,Male,Co-Founder,Instagram,2010
Mike,Krieger,Male,Co-Founder,Instagram,2010
Slava,Akhmechet,Male,Founder,RethinkDB,2010
Michael,Glukhovsky,Male,Founder,RethinkDB,2010
Christian,Gheorghe,Male,"Founder, CEO","Tidemark Systems, Inc.",2010
Tony,Rizzo,Male,Co-Founder Customer Success,"Tidemark Systems, Inc.",2010
Nenshad,Bardoliwalla,Male,Co-Founder Products,"Tidemark Systems, Inc.",2010
Christopher,Poole,Male,Founder & CEO,Canvas Networks,2010
Dennis,Crowley,Male,Co-Founder and Chief Executive Officer,Foursquare,2010
Naveen,Selvadurai,Male,co-founder,Foursquare,2010
Todd,McKinnon,Male,CEO & Co-Founder,Okta,2010
Frederic,Kerrest,Male,COO & Co-Founder,Okta,2010
Ze,Frank,Male,Founder And CEO,Ze Frank Games,2010
Roman,Stanek,Male,"Founder, CEO",GoodData,2010
Babur,Habib,Male,Co-Founder/CTO/Board of Directors,Kno,2010
Osman,Rashid,Male,Co-Founder/CEO/Board of Directors,Kno,2010
Guarav,Dhillon,Male,Co-founder and CEO,SnapLogic,2010
Mike,Pittaro,Male,Founder and Chief Community Officer,SnapLogic,2010
Paul,Rademacher,Male,Co-Founder,Tasty Labs,2010
Nick,Nguyen,Male,"Co-founder, VP Product, and COO",Tasty Labs,2010
Razmig,Hovaghimian,Male,Co - Founder & CEO,Viki,2010
Jiwon,Moon,Female,Co - Founder / Former Co - CEO / Former CPO,Viki,2010
Changseong,Ho,Male,Co - Founder / Co - CEO / CTO,Viki,2010
Weihan,Wang,Male,"Co-Founder, CTO",AeroFS,2010
Ken,Elkabany,Male,"Co-founder, CEO",PiCloud,2010
Aaron,Staley,Male,"Co-founder, CTO",PiCloud,2010
Rotem,Perelmuter,Male,Founder / CEO,Top Prospect,2010
Brad,Keywell,Male,Co-Founder and Director,Groupon,2011
Andrew,Mason,Male,Founder/CEO,Groupon,2011
Jake,Mintz,Male,"Co-founder, Product Manager, Data",Bump Technologies,2011
David,Lieb,Male,co-founder / CEO,Bump Technologies,2011
Andy,Huibers,Male,co-founder,Bump Technologies,2011
Aza,Raskin,Male,Founder & CEO,Massive Health,2011
Sutha,Kamal,Male,Co-Founder,Massive Health,2011
Martin,Casado,Male,Co-Founder and Chief Technology Officer,Nicira Networks,2011
Aaron,Levie,Male,"CEO, Co-founder and Board of Directors",Box,2011
Suleman,Ali,Male,Co-Founder,TinyCo,2011
Alexander,Asseily,Male,Chairman & Founder,Jawbone,2011
Hosain,Rahman,Male,Founder/CEO,Jawbone,2011
Babur,Habib,Male,Co-Founder/CTO/Board of Directors,Kno,2011
Osman,Rashid,Male,Co-Founder/CEO/Board of Directors,Kno,2011
Steve,Heffernan,Male,Co-Founder/Partner,Zencoder,2011
Brandon,Arbini,Male,Co-Founder and VP of Product Development/Engineering,Zencoder,2011
Jon,Dahl,Male,Co-Founder and CEO,Zencoder,2011
John,Beatty,Male,"Founder, VP of Engineering",Clover,2011
Kelvin,Zheng,Male,"Founder, Apps",Clover,2011
Gee,Chuang,Male,founder,Listia,2011
James,Fong,Male,Co-Founder,Listia,2011
Alfred,Chuang,Male,Founder and CEO,Magnet Systems,2011
Renee,Barton,Female,"Co-Founder, SVP Operations & Finance",Magnet Systems,2011
Shubham,Mittal,Male,Co-Founder,Circle Inc,2011
Evan,Reas,Male,"Co-Founder, CEO",Circle Inc,2011
Prasanna,Sankaranarayanan,Male,Co-Founder,Circle Inc,2011
Eddy,Lu,Male,Co-Founder,Grubwithus,2011
Daishin,Sugano,Male,Co-Founder,Grubwithus,2011
Brian,Lee,Male,"Founder, Chairman & CEO",ShoeDazzle,2011
MJ,Eng,Male,President / Founder,ShoeDazzle,2011
Nathan,Blecharczyk,Male,Co-Founder & CTO,Airbnb,2011
Brian,Chesky,Male,Co-Founder & CEO,Airbnb,2011
