first_name,last_name,gender,title,company,year_funded
Michael,M Carter,Male,Founder / CEO (Dashboard Systems),Cisco,1987
David,Filo,Male,Co-Founder and Chief Yahoo,Yahoo!,1995
Roland,Schemers,Male,Zimbra co-founder,Yahoo!,1995
Jerry,Yang,Male,Co-Founder,Yahoo!,1995
Nitin,Motgi,Female,"CORE Founder, Engineering Lead",Yahoo!,1995
Craig,Walker,Male,Founder and Sr. Director - Yahoo! Voice,Yahoo!,1995
Larry,Page,Male,CEO & Co-Founder,Google,1999
Sergey,Brin,--,"Co-Founder, President of Technology",Google,1999
Ken,Howery,Male,"Co-Founder, CFO",PayPal,2000
Luke,Nosek,Male,"Co-founder, VP, Bus Dev, Marketing, Strategy",PayPal,2000
Peter,Thiel,Male,"Co-Founder, Chairman and CEO",PayPal,2000
Elon,Musk,--,Co-founder,PayPal,2000
Max,Levchin,Male,Co - Founder / CTO,PayPal,2000
Mika,Salmi,Male,CEO/Founder,Atom Entertainment,2001
Minh,Nguyen,--,Co-Founder,Plaxo,2002
Sean,Parker,Male,Co-Founder,Plaxo,2002
Steve,Scherf,Male,Co-Founder / Chief Architect / Gracenote Fellow,Gracenote,2002
Dale,Roberts,Male,Co-Founder,Gracenote,2002
Ann,Greenberg,Female,Founder & SVP,Gracenote,2002
Scott,Jones,Male,"Co-founder and former CEO, former Chairman of the Board",Gracenote,2002
Ty,Roberts,Male,Co-founder / CTO,Gracenote,2002
Christopher,Lindblad,Male,Founder,MarkLogic,2002
Minh,Nguyen,--,Co-Founder,Plaxo,2003
Sean,Parker,Male,Co-Founder,Plaxo,2003
Jean-Luc,Vaillant,Male,Co-Founder and CTO,LinkedIn,2003
Reid,Hoffman,Male,Founder & Chairman,LinkedIn,2003
Allen,Blue,Male,Co-Founder and VP of Product Strategy,LinkedIn,2003
Lee,Hower,Male,Co-founder / Director of Corporate Development,LinkedIn,2003
Konstantin,Guericke,Male,"Co - Founder / VP, Marketing",LinkedIn,2003
Eric,Ly,Male,CTO and Co-Founder,LinkedIn,2003
Christopher,Lindblad,Male,Founder,MarkLogic,2003
Edward,Lenk,Male,"Director, Co-Founder",GameFly,2003
Sean,Spector,Male,"Co-Founder, SVP Business Development, Content",GameFly,2003
Jung,Suh,--,Co Founder/VP Content,GameFly,2003
Benson,Riseman,Male,Co-Founder,Green Dot Corporation,2003
Steve,Streit,Male,"Founder and CEO, Board of Directors",Green Dot Corporation,2003
Minh,Nguyen,--,Co-Founder,Plaxo,2004
Sean,Parker,Male,Co-Founder,Plaxo,2004
Gidon,Wise,--,Co-Founder & President of Technology,adBrite,2004
Philip,Kaplan,Male,Co-Founder & Chairman,adBrite,2004
Dr. Neil Clark,Warren,--,"Founder, Chairman, and CEO",eHarmony,2004
Steve,Hafner,Male,CEO and Co-founder,KAYAK,2004
Paul,English,Male,CTO and Co-founder,KAYAK,2004
Dalton,Caldwell,Male,Co-Founder & CEO,imeem,2004
Steve,Scherf,Male,Co-Founder / Chief Architect / Gracenote Fellow,Gracenote,2004
Dale,Roberts,Male,Co-Founder,Gracenote,2004
Ann,Greenberg,Female,Founder & SVP,Gracenote,2004
Scott,Jones,Male,"Co-founder and former CEO, former Chairman of the Board",Gracenote,2004
Ty,Roberts,Male,Co-founder / CTO,Gracenote,2004
Tim,McQuillen,Male,Founder and CIO,StrongView,2004
Jawed,Karim,--,Co - Founder,YouTube,2005
Chad,Hurley,Male,Co - Founder / CEO,YouTube,2005
Steve,Chen,Male,Co - Founder & CTO,YouTube,2005
Elaine,Wherry,Female,Advisor and Co-Founder,Meebo,2005
Sandy,Jen,Male,CTO and Co-Founder,Meebo,2005
Seth,Sternberg,Male,CEO and Co-Founder,Meebo,2005
Adam,Curry,Male,Co - Founder & President,Mevio,2005
Ron,Bloom,Male,Founder & Board Chairman,Mevio,2005
Fred,Durham,Male,Co-Founder & CEO,Cafe Press,2005
Maheesh,Jain,--,Co-Founder & VP of Business Development,Cafe Press,2005
Alok,Deshpande,--,Co-founder and Head of Product,Loopt,2005
Sam,Altman,Male,Co-Founder/CEO,Loopt,2005
Nick,Sivo,Male,Co-Founder/CTO,Loopt,2005
Ashar,Aziz,--,"Founder, Vice Chairman of the Board, CTO, and Chief Strategy Officer",FireEye,2005
Dayne,Myers,--,Co-founder & CEO,Elemental Cyber Security,2005
Stuart,Bailey,Male,CTO & Founder,Infoblox,2005
Nicolas,Draca,Male,Co-founder & CEO,Infoblox,2005
